"","0.0_SE_5","0.0_SE_10","0.0_SE_20","0.0_SE_40","0.1_SE_5","0.1_SE_10","0.1_SE_20","0.1_SE_40","0.2_SE_5","0.2_SE_10","0.2_SE_20","0.2_SE_40","0.3_SE_5","0.3_SE_10","0.3_SE_20","0.3_SE_40","1_SE_5","1_SE_10","1_SE_20","1_SE_40","2_SE_5","2_SE_10","2_SE_20","2_SE_40","3.0_SE_5","3.0_SE_10","3.0_SE_20","3.0_SE_40","3.1_SE_5","3.1_SE_10","3.1_SE_20","3.1_SE_40","3.2_SE_5","3.2_SE_10","3.2_SE_20","3.2_SE_40","3.3_SE_5","3.3_SE_10","3.3_SE_20","3.3_SE_40","4_SE_5","4_SE_10","4_SE_20","4_SE_40"
"REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY",3.35046098761096,2.01028582288398,4.15410457363469,1.05962243956267,3.8497022908848,0,5.82864110134299,0,1.91294343452463,1.77732475740655,5.08279237691116,0,1.01534573975822,0.967845080140247,1.67979977262592,0,1.6872175900178,0,2.98343937575107,0,2.70195217617499,2.89030141792826,4.24208468740725,1.33136135510115,3.35046098761096,1.91340362706938,3.95514837547757,0,0.580047009949285,0.716270513710395,2.62735018811158,0,0,0.733640165101713,2.4742859731861,1.27229299461827,0,1.4238296434958,1.64533827823014,0,1.86228864615377,1.12080612266616,2.29980417254574,0
"REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE",3.35046098761096,0,0,0,4.43229811470751,0,0.452386760664047,0,1.59242910535329,0,0,0,1.75304549187798,0,0,0,2.70195217617499,1.45508220098549,1.45508220098549,0,3.7106585623459,1.79762898109073,2.79649630944733,0,5.88605406364434,1.57176941751323,1.92566683588189,0,2.0731249126521,0,0,0,0.401688707078804,0,0,1.12191826773763,1.78177509840414,0,0,0,0,0.584268667981845,1.18339937352176,0
"REACTOME_PLATELET_CALCIUM_HOMEOSTASIS",3.35046098761096,0,0,0,4.38780121178882,0,0,0,1.3841759289537,0,0,0,1.75304549187798,0,0,0,1.05962243956267,0,0,0,0.725104897785938,0,0,0,2.98343937575107,0,0,0.577086652807577,0,0,0,0,1.62788310431782,1.43351473352655,0,1.27229299461827,0,0.0788277305133337,0,0,0,0,0,0
"REACTOME_RAC3_GTPASE_CYCLE",3.35046098761096,0,0,0,3.80445626958373,0,0,0,1.07344720061753,0,0,0,1.75304549187798,0,0,0,3.62113271806309,0,0,0,2.41298396820845,0.725104897785938,0,0,4.32986364388236,0,0,0,0,0,0,0,0,0,0.498989437142888,0.525067726328163,0,0,0,0,1.15517952989953,0,0,0
"REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY",3.35046098761096,1.2004371438001,4.32986364388236,0,4.52115747742368,0,5.33346767359052,0,1.31084335035352,0,4.52221369915236,0.143188241299589,0.426063981599888,0.47635452228555,1.83136649242177,0,2.60658594841025,0,4.06590959836088,0,2.70195217617499,1.9051621163945,3.2594381813023,1.45508220098549,3.35046098761096,1.44980978965555,3.37145955058124,0,0,0.716270513710395,1.60088783794731,0,0,0,2.4742859731861,0,0,1.07198221237735,0.969483834162376,0,0.852528433465476,0.717213160521324,2.83361145240993,0
"REACTOME_REGULATION_OF_RAS_BY_GAPS",3.35046098761096,0,3.88881366570111,1.05962243956267,4.16458399350108,0,5.24311271895211,0,0.79144719118003,0,4.80321397959732,0,1.22406389037383,0,2.39535215267862,0,2.79649630944733,0.725104897785938,3.97748477261038,0,2.31450103760994,1.45508220098549,3.4410624943173,1.57331251055501,3.53127636825249,0.685797949905534,3.82160659933708,0,0,0,1.36205470560542,0,0,1.43351473352655,2.25449212591781,1.27229299461827,0,1.07198221237735,1.64533827823014,0,0.852528433465476,0,3.14229976256437,0
"REACTOME_RHOC_GTPASE_CYCLE",3.35046098761096,0,0.49688369302109,0,3.80445626958373,0,0,0,0.545836932650312,0,0,0,0.769449232468285,0,0,0,2.21469246595627,0,0,0,1.2004371438001,0.49688369302109,0,0,3.2594381813023,0,0.932524581776831,0,1.11778959271979,0,1.48404473327684,0,1.21871354803236,0,0.943144259970902,0,0,0,0.437195077642202,0,1.15517952989953,0,0,0
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",3.35046098761096,1.05962243956267,4.06590959836088,0,4.43229811470751,0.521843063934565,5.42371524529784,0,1.15606745148284,0,4.80321397959732,0.682740491173684,1.01534573975822,0,2.39535215267862,0,2.51030097505442,0,3.62113271806309,0,1.9051621163945,1.57331251055501,3.79987822421536,2.11336570754445,3.16795629165793,1.18627818223017,3.09660207224848,0,0,0,2.03417918766998,0,0,1.43351473352655,2.4742859731861,0.956503792616231,0,1.07198221237735,1.64533827823014,0,0.852528433465476,1.12080612266616,2.07592887038991,0
"REACTOME_SENSORY_PERCEPTION_OF_TASTE",3.35046098761096,0,0,0,5.18280732888888,0,0.590086345012864,0,2.99486587304052,0,1.44504384251827,0,1.01534573975822,0,0,0,0,0,0,0,1.2004371438001,0,0,0,2.70195217617499,0,1.35419447192473,0,0,0,0,0,0.401688707078804,0,0.943144259970902,1.54522250189642,2.04795982386482,0.0788277305133337,0.969483834162376,0,1.49161690414637,0,0,0
"REACTOME_SIGNALING_BY_ALK_IN_CANCER",3.35046098761096,0,0,0,3.62271178415277,0,0,0,1.31084335035352,0,0,0,1.58723923472057,0,0,0,3.16795629165793,0,0,0,3.2594381813023,0,0,0,1.79762898109073,0.431050600682276,0.155330698342469,0,0.244137851672129,0,0,0,0,0,1.79042940389123,0,1.17829496315692,0,0,0,1.64462569483136,0,0,0
